Id,Date,Vendor,Amount,Type,Category,Account,AppliedToBalance
1,2025-08-24,RICKS GOOD EATS FOOD TR Toronto,-21.07,Expense,Uncategorized,Unassigned,True
2,2025-08-23,VISTAPRINT CANADA CORPO TORONTO,-71.17,Expense,Uncategorized,Unassigned,True
3,2025-08-22,SHEIN DISTRIBUTION CANA TORONTO,-96.5,Expense,Uncategorized,Unassigned,True
4,2025-08-22,LINKEDINPREA *46378236 MOUNTAIN VIEW,-53.8,Expense,Uncategorized,Unassigned,True
5,2025-08-21,STAPLES STORE #81 GUELPH,-12.9,Expense,Uncategorized,Unassigned,True
6,2025-08-19,TIM HORTONS #6577 GUELPH,-1.92,Expense,Uncategorized,Unassigned,True
7,2025-08-18,VALET CAR WASH GUELPH S GUELPH,-20.33,Expense,Uncategorized,Unassigned,True
8,2025-08-17,MARSHALLS 750 GUELPH,-45.18,Expense,Uncategorized,Unassigned,True
9,2025-08-16,PAYMENT RECEIVED - THANK YOU,2535.41,Income,Uncategorized,Unassigned,True
10,2025-08-16,A&W #4843 VAUGHAN VAUGHAN,-15.92,Expense,Uncategorized,Unassigned,True
11,2025-08-15,MEMBERSHIP FEE INSTALLMENT,-12.99,Expense,Uncategorized,Unassigned,True
12,2025-08-15,DOLLARAMA # 810 GUELPH,-11.58,Expense,Uncategorized,Unassigned,True
13,2025-08-13,SPOTIFY STOCKHOLM,-20.22,Expense,Uncategorized,Unassigned,True
14,2025-08-13,MOFER COFFEE TORONTO TORONTO,-5.64,Expense,Uncategorized,Unassigned,True
15,2025-08-13,TORONTO PARKING AUTHORI TORONTO,-15.0,Expense,Uncategorized,Unassigned,True
16,2025-08-13,MIGHTYBIRD 001 TORONTO,-22.76,Expense,Uncategorized,Unassigned,True
17,2025-08-12,UNION STATION - GO TVM TORONTO,-50.0,Expense,Uncategorized,Unassigned,True
18,2025-08-12,MCDONALD'S #40569 TORONTO,-2.3,Expense,Uncategorized,Unassigned,True
19,2025-08-11,SEATGEEK TICKETS TORONTO,-151.0,Expense,Uncategorized,Unassigned,True
20,2025-08-09,LULULEMONCOM 877-263-9300,-66.67,Expense,Uncategorized,Unassigned,True
